"VisitID","D16","D50","D84","D16_cm.org","D50_cm.org","D84_cm.org"
920,9.97889836003456,40.6250354668284,120.462674077784,10,41,122
922,5.24788996807236,38.2566153626109,100.799441790868,6,39,102
923,13.9913977594155,61.1262420120741,220.624482646956,14,62,225
924,14.0843913841521,78.0817945843544,235.248993967907,14,79,241
927,40.8443117781078,80.0331961952304,127.470694641436,42,80,129
928,55.2771330858846,101.602276384686,165.159797375345,56,102,167
931,14.5153780587984,96.568614719979,252.837282441639,16,98,258
932,2.40160685497042,18.4421990768196,60.9884484040992,2,19,62
933,1.77937453427673,9.89442533521021,29.370120417823,2,10,30
934,65.273169019828,105.841528302121,166.945747817263,66,106,168
935,51.0036132677569,95.3578762274561,146.445384549034,52,96,148
936,0.126583484882895,12.6889481631386,52.7287979459857,0.14,13,54
937,4.87748918800069,29.2073226234124,99.7959609560809,5,30,102
938,10.7666367180666,25.5160681780705,42.5781975048109,11,26,43
939,3.08127919655964,22.5,95.7220112101517,3,23,100
940,1.33628452782457,20.0829885024651,93.665320087325,1,20,99
941,15.0049789605408,36.2609831196689,90.9102827057777,15,37,93
942,2.20992896959982,16.6681533315715,41.9279131567463,2,17,42
945,4.4121968155192,31.4413804210868,95.5535832451377,5,32,97
946,0.00178270241721618,4,19.4717059767659,0.02,4,20
947,2.44339801449531,29.5018869986519,78.7704847863854,3,30,80
948,0.360713420599304,3.65007100303398,19.6316816982371,0.38,4,21
949,0.0474408148470293,9.61797913195905,22.0659079323843,0.05,10,22
950,21.1968620982761,61.9211872301175,258.227018235229,22,63,264
951,0.248750055301789,4.47335234008875,284.861955923329,0.27,5,289
952,0.00308028618303655,4.72545309717202,13.6924019982475,0.02,5,14
953,12.234950703886,51.0835181181385,137.884206077382,13,52,142
954,0.00138745558167374,0.125532824910858,6.09983211218794,0.02,0.13,6
955,8.93482998608683,34.7181229479251,78.3210592939594,10,35,79
956,14.1170849646905,44.4915049169056,88.199969157511,14,45,89
957,19.4540115619502,55.6806717953234,110.621039739056,20,56,112
960,5.84676973891514,28.7471413454683,87.5785008183361,6,29,89
961,0.183942185840407,2.80340365080916,7.2879574078963,0.19,3,7
962,12.6622306427757,39.7121058534926,133.676261845602,13,40,138
963,31.2573494175675,137.032151573653,392.697165517265,33,139,399
964,27.0918141723069,61.8381259263882,125.356030463219,28,62,127
966,9.95594929487337,25.0878456720303,47.1211575882526,10,25,48
967,15.8296951291917,37.3184226180465,64.324066615211,16,38,65
968,19.4650686859835,121.248539003641,400.413072564169,20,123,407
969,10.9920670021075,88.3994869375482,253.65855250076,12,90,260
970,16.4305943982892,52.7868679252263,107.359269744591,17,53,109
971,23.111981528807,55.1168879113372,125.255437283516,24,56,127
972,17.8849231174244,130.756677920855,358.369715581101,19,134,362
973,32.2739068881866,66.0146316714403,121.355129443485,33,67,123
976,40.9272443052447,78.6513457990113,157.053453585897,42,79,159
978,46.4311693517878,100.258137938251,229.75083716094,47,101,233
982,15.8522972859806,110.52830955987,260.946553051141,17,112,265
983,20.2433848730899,49.4598237106899,109.192058039735,21,50,111
984,2.39495740923786,8.82019179661155,14.6826294221776,3,9,15
985,16.514622342389,32.9544440970015,51.8083186051987,17,33,52
986,15.4043268109953,32,54.9406855897598,16,32,55
987,8.65416738522501,16.4515461558786,28.0758874723737,9,17,28
988,29.8233541855309,80.0471756149701,287.689576598792,31,81,293
989,35.9818501461912,60.0873176179261,98.1825867997556,36,60,99
990,35.7156877582729,59.2975874529868,86.5352164163621,36,60,87
991,28.8588833897542,56.344472604736,92.9742283754693,30,57,94
992,25.7525384650937,63.3936442412515,109.110041515501,27,64,110
993,38.0089879296356,71.2962099220361,117.624496983954,39,72,119
994,38.0235097781662,82.3656727863393,155.773647814128,39,83,158
995,36.4487758077835,68.5953044473268,114.266902454498,37,69,115
997,38.6436299443105,71.3772785557747,128.875754349068,39,72,131
998,53.082207810954,80.7785125531907,123.918732701521,54,81,125
999,39.3421831368122,63.2529898538294,99.6398600917977,40,64,101
1000,14.6226767111297,38.800515744059,97.6487195544588,15,39,99
1001,1.66750026871852,12.2940386519783,29.082399710488,2,12,29
1005,34.3318824778911,92.2929986320836,299.077437068493,35,94,305
1006,20.9216457322047,92.510939667808,345.948030283047,22,94,357
1007,6.0449420953789,23.5818666646316,63.4612694004408,6,24,65
1008,11.4582977926237,42.7005689977912,120.419164568415,12,43,123
